add_date,stock,name,industry,open,close,today_pct,open1,close1,today_pct1,open2,close2,today_pct2,open3,close3,today_pct3,open4,close4,today_pct4,open5,close5,today_pct5,open6,close6,today_pct6,open7,close7,today_pct7,open8,close8,today_pct8,open9,close9,today_pct9,open10,close10,today_pct10
2026-03-24,688521.XSHG,芯原股份,电子I,194.9,205.88,0.0563,208.2,214.8,0.0317,218.1,213.35,-0.0218,208.0,215.53,0.0362,208.0,212.3,0.0207,210.51,202.3,-0.039,213.0,223.0,0.0469,219.92,219.0,-0.0042,224.0,224.8,0.0036,230.4,230.55,0.0007,243.0,240.72,-0.0094
2026-03-24,603259.XSHG,药明康德,医药生物I,90.0,93.68,0.0409,94.63,94.02,-0.0064,94.45,94.73,0.003,93.9,97.0,0.033,95.9,96.61,0.0074,96.75,98.1,0.014,100.06,103.81,0.0375,103.0,103.19,0.0018,100.7,99.99,-0.0071,100.02,101.3,0.0128,104.0,103.74,-0.0025
2026-03-24,600988.XSHG,赤峰黄金,有色金属I,35.52,36.12,0.0169,37.01,38.33,0.0357,38.32,37.3,-0.0266,36.65,39.8,0.0859,39.81,42.94,0.0786,43.0,43.15,0.0035,44.5,45.35,0.0191,45.0,45.0,0.0,44.93,45.25,0.0071,44.6,43.69,-0.0204,46.18,47.36,0.0256
2026-03-24,601869.XSHG,长飞光纤,通信I,216.34,233.31,0.0784,246.0,256.64,0.0433,258.44,268.88,0.0404,258.0,274.26,0.063,269.28,301.69,0.1204,300.0,309.49,0.0316,320.0,308.0,-0.0375,304.9,332.49,0.0905,339.13,352.5,0.0394,351.5,357.1,0.0159,362.2,362.1,-0.0003
2026-03-25,002309.XSHE,中利集团,电气设备I,4.83,5.07,0.0497,4.81,4.74,-0.0146,4.53,4.33,-0.0442,4.26,4.76,0.1174,4.8,4.94,0.0292,4.74,4.53,-0.0443,4.55,4.98,0.0945,4.85,5.03,0.0371,5.03,5.23,0.0398,5.06,5.03,-0.0059,4.91,4.76,-0.0305
2026-03-25,600522.XSHG,中天科技,通信I,27.0,27.67,0.0248,27.3,26.77,-0.0194,26.25,27.05,0.0305,26.65,28.99,0.0878,28.86,30.09,0.0426,30.99,29.16,-0.0591,29.15,29.32,0.0058,29.46,30.67,0.0411,30.82,30.25,-0.0185,30.98,30.7,-0.009,30.28,31.4,0.037
2026-03-25,002428.XSHE,云南锗业,有色金属I,48.0,48.43,0.009,48.2,46.69,-0.0313,44.88,51.36,0.1444,51.36,52.35,0.0193,52.0,48.91,-0.0594,51.21,49.9,-0.0256,48.01,47.5,-0.0106,49.06,51.71,0.054,51.91,52.76,0.0164,54.0,54.25,0.0046,53.8,55.59,0.0333
2026-03-25,300383.XSHE,光环新网,通信I,16.01,18.23,0.1387,17.69,17.08,-0.0345,17.5,17.33,-0.0097,17.04,17.61,0.0335,17.64,17.12,-0.0295,18.0,17.65,-0.0194,17.36,16.28,-0.0622,16.94,16.88,-0.0035,16.89,16.38,-0.0302,17.19,17.8,0.0355,17.51,17.48,-0.0017
2026-03-25,002281.XSHE,光迅科技,通信I,82.88,86.45,0.0431,84.77,85.0,0.0027,83.56,84.5,0.0112,83.69,88.1,0.0527,87.18,84.3,-0.033,86.6,86.98,0.0044,85.81,83.9,-0.0223,85.02,90.39,0.0632,92.0,92.36,0.0039,95.6,98.26,0.0278,96.13,108.09,0.1244
2026-03-25,600111.XSHG,北方稀土,有色金属I,46.1,47.82,0.0373,47.35,46.21,-0.0241,45.26,47.27,0.0444,46.6,47.11,0.0109,47.11,47.68,0.0121,48.49,48.48,-0.0002,48.0,47.58,-0.0088,47.58,47.61,0.0006,47.62,49.89,0.0477,50.81,51.7,0.0175,51.0,51.8,0.0157
2026-03-25,600549.XSHG,厦门钨业,有色金属I,58.14,58.36,0.0038,60.99,57.51,-0.0571,55.8,58.74,0.0527,58.55,57.2,-0.0231,57.35,55.62,-0.0302,57.01,56.0,-0.0177,55.0,53.37,-0.0296,53.36,53.19,-0.0032,53.25,54.33,0.0203,56.0,57.96,0.035,56.97,58.39,0.0249
2026-03-25,600989.XSHG,宝丰能源,化工I,29.48,29.93,0.0153,29.93,29.38,-0.0184,29.41,29.68,0.0092,30.77,29.73,-0.0338,29.57,28.65,-0.0311,28.65,28.35,-0.0105,28.51,28.95,0.0154,28.95,28.21,-0.0256,28.66,30.33,0.0583,27.85,28.18,0.0118,28.6,29.22,0.0217
2026-03-25,600157.XSHG,永泰能源,煤炭I,1.87,1.98,0.0588,1.97,1.95,-0.0102,1.93,1.97,0.0207,1.97,1.88,-0.0457,1.86,1.8,-0.0323,1.82,1.81,-0.0055,1.81,1.77,-0.0221,1.78,1.72,-0.0337,1.71,1.75,0.0234,1.76,1.78,0.0114,1.77,1.73,-0.0226
2026-03-25,300442.XSHE,润泽科技,通信I,85.6,87.65,0.0239,86.78,84.28,-0.0288,83.52,83.45,-0.0008,81.5,82.8,0.016,82.62,80.8,-0.022,83.38,84.54,0.0139,84.0,80.27,-0.0444,81.79,81.0,-0.0097,80.96,79.51,-0.0179,83.1,86.91,0.0458,85.5,87.29,0.0209
2026-03-25,600498.XSHG,烽火通信,通信I,45.9,46.95,0.0229,46.96,45.42,-0.0328,44.39,45.98,0.0358,44.99,48.8,0.0847,47.6,50.48,0.0605,52.33,48.86,-0.0663,48.19,47.82,-0.0077,48.81,49.16,0.0072,48.99,48.81,-0.0037,50.1,51.25,0.023,51.2,54.95,0.0732
2026-03-25,300017.XSHE,网宿科技,计算机I,17.25,18.14,0.0516,18.22,17.5,-0.0395,17.31,17.43,0.0069,17.06,17.5,0.0258,17.31,16.9,-0.0237,17.61,17.73,0.0068,17.46,16.55,-0.0521,16.88,16.55,-0.0195,16.49,16.05,-0.0267,16.91,18.42,0.0893,17.7,17.95,0.0141
2026-03-26,600703.XSHG,三安光电,电子I,13.95,12.91,-0.0746,12.51,12.56,0.004,11.93,12.17,0.0201,12.17,11.67,-0.0411,11.89,11.85,-0.0034,11.81,11.4,-0.0347,11.5,11.65,0.013,11.73,12.02,0.0247,12.3,12.41,0.0089,11.7,11.84,0.012,11.85,11.94,0.0076
2026-03-26,002050.XSHE,三花智控,家用电器I,44.0,43.87,-0.003,43.0,43.35,0.0081,42.63,43.03,0.0094,43.06,42.53,-0.0123,43.34,43.59,0.0058,43.3,42.81,-0.0113,43.0,41.9,-0.0256,41.9,41.77,-0.0031,43.0,44.28,0.0298,43.67,43.78,0.0025,44.21,44.87,0.0149
2026-03-26,300827.XSHE,上能电气,电气设备I,43.46,44.92,0.0336,43.58,43.08,-0.0115,44.07,42.0,-0.047,41.49,38.88,-0.0629,39.88,39.68,-0.005,39.0,37.55,-0.0372,37.38,35.0,-0.0637,34.6,35.18,0.0168,35.79,36.37,0.0162,35.81,37.64,0.0511,37.77,37.77,0.0
2026-03-26,300059.XSHE,东方财富,非银金融I,19.71,19.03,-0.0345,18.84,19.11,0.0143,18.83,18.98,0.008,18.98,18.8,-0.0095,19.1,19.09,-0.0005,19.02,18.66,-0.0189,18.73,18.39,-0.0182,18.42,18.36,-0.0033,18.81,19.39,0.0308,19.05,18.86,-0.01,19.12,19.66,0.0282
2026-03-26,601318.XSHG,中国平安,非银金融I,58.78,56.8,-0.0337,56.86,56.95,0.0016,56.34,56.33,-0.0002,56.29,56.78,0.0087,57.58,58.18,0.0104,58.0,57.26,-0.0128,57.58,57.25,-0.0057,57.3,56.69,-0.0106,58.0,59.45,0.025,59.0,58.74,-0.0044,59.0,58.82,-0.0031
2026-03-26,300136.XSHE,信维通信,电子I,65.57,64.26,-0.02,61.67,62.54,0.0141,61.27,64.29,0.0493,64.1,64.93,0.0129,65.97,63.02,-0.0447,62.7,61.49,-0.0193,63.35,61.74,-0.0254,62.3,60.65,-0.0265,62.53,65.85,0.0531,64.27,63.92,-0.0054,63.97,63.96,-0.0002
2026-03-26,603601.XSHG,再升科技,建筑材料I,13.44,13.44,0.0,12.9,13.18,0.0217,13.13,14.5,0.1043,14.5,15.49,0.0683,15.49,14.87,-0.04,15.15,14.1,-0.0693,14.43,14.0,-0.0298,13.8,13.77,-0.0022,14.01,14.26,0.0178,13.77,13.61,-0.0116,13.61,13.31,-0.022
2026-03-26,002709.XSHE,天赐材料,电气设备I,42.8,44.24,0.0336,43.66,45.85,0.0502,46.97,47.9,0.0198,47.24,45.75,-0.0315,46.25,45.5,-0.0162,44.87,44.56,-0.0069,44.82,43.24,-0.0353,43.42,43.46,0.0009,44.04,44.73,0.0157,44.56,43.65,-0.0204,44.01,46.46,0.0557
2026-03-26,600666.XSHG,奥瑞德,电子I,5.81,5.53,-0.0482,5.32,6.08,0.1429,5.8,6.24,0.0759,6.02,5.7,-0.0532,5.92,6.27,0.0591,6.27,6.17,-0.0159,6.21,5.88,-0.0531,5.7,5.91,0.0368,6.18,6.5,0.0518,7.15,6.56,-0.0825,6.56,6.3,-0.0396
2026-03-26,688498.XSHG,源杰科技,电子I,771.56,786.62,0.0195,742.62,759.09,0.0222,745.21,732.79,-0.0167,707.26,693.77,-0.0191,724.51,731.41,0.0095,724.51,713.47,-0.0152,734.88,748.66,0.0188,738.31,743.14,0.0065,784.41,784.54,0.0002,779.71,778.46,-0.0016,779.02,845.29,0.0851
2026-03-26,603659.XSHG,璞泰来,电气设备I,32.09,33.95,0.058,33.29,34.08,0.0237,33.38,33.39,0.0003,33.39,31.77,-0.0485,32.4,31.32,-0.0333,31.0,31.0,0.0,30.76,29.7,-0.0345,30.14,30.07,-0.0023,30.8,31.3,0.0162,31.25,31.71,0.0147,31.79,33.43,0.0516
2026-03-26,300757.XSHE,罗博特科,机械设备I,400.02,382.41,-0.044,376.87,402.38,0.0677,399.11,387.58,-0.0289,381.0,380.61,-0.001,396.0,393.8,-0.0056,393.81,390.5,-0.0084,408.0,434.0,0.0637,433.51,436.0,0.0057,450.0,475.28,0.0562,478.0,488.25,0.0214,497.52,494.0,-0.0071
2026-03-26,601016.XSHG,节能风电,公用事业I,5.4,5.31,-0.0167,5.11,4.93,-0.0352,4.88,4.6,-0.0574,4.54,4.28,-0.0573,4.36,4.26,-0.0229,4.23,4.03,-0.0473,4.02,3.81,-0.0522,3.8,4.04,0.0632,4.06,4.1,0.0099,4.07,4.02,-0.0123,4.05,3.97,-0.0198
2026-03-26,002149.XSHE,西部材料,有色金属I,43.74,46.74,0.0686,44.5,49.45,0.1112,48.35,53.15,0.0993,52.5,51.54,-0.0183,51.55,50.06,-0.0289,49.66,49.15,-0.0103,49.8,47.1,-0.0542,47.5,45.38,-0.0446,46.25,48.19,0.0419,47.0,46.59,-0.0087,46.61,45.65,-0.0206
2026-03-26,002460.XSHE,赣锋锂业,有色金属I,70.37,72.43,0.0293,71.49,79.67,0.1144,81.0,80.15,-0.0105,79.7,78.38,-0.0166,79.1,77.31,-0.0226,77.3,79.93,0.034,79.94,79.75,-0.0024,80.0,78.96,-0.013,77.82,82.01,0.0538,82.3,81.01,-0.0157,81.74,83.98,0.0274
2026-03-26,300475.XSHE,香农芯创,电子I,143.0,147.19,0.0293,140.0,143.96,0.0283,140.06,137.1,-0.0211,133.34,125.63,-0.0578,132.82,128.08,-0.0357,129.01,125.5,-0.0272,128.0,121.98,-0.047,123.5,123.48,-0.0002,145.71,148.18,0.017,149.57,147.55,-0.0135,150.0,151.25,0.0083
2026-03-27,000617.XSHE,中油资本,非银金融I,10.53,10.64,0.0104,10.72,10.21,-0.0476,10.06,10.2,0.0139,10.1,9.89,-0.0208,9.82,9.92,0.0102,10.91,10.7,-0.0192,10.72,11.53,0.0756,10.81,10.39,-0.0389,10.55,10.39,-0.0152,10.2,10.26,0.0059,10.28,10.08,-0.0195
2026-03-27,002428.XSHE,云南锗业,有色金属I,44.88,51.36,0.1444,51.36,52.35,0.0193,52.0,48.91,-0.0594,51.21,49.9,-0.0256,48.01,47.5,-0.0106,49.06,51.71,0.054,51.91,52.76,0.0164,54.0,54.25,0.0046,53.8,55.59,0.0333,58.29,56.79,-0.0257,57.11,55.13,-0.0347
2026-03-27,300620.XSHE,光库科技,通信I,174.87,194.32,0.1112,188.59,188.36,-0.0012,185.08,177.9,-0.0388,184.82,186.85,0.011,189.85,199.92,0.053,204.85,222.79,0.0876,222.08,219.14,-0.0132,230.83,221.85,-0.0389,217.87,230.94,0.06,230.94,232.7,0.0076,226.51,226.58,0.0003
2026-03-27,002131.XSHE,利欧股份,机械设备I,7.39,7.74,0.0474,7.59,7.73,0.0184,7.67,7.81,0.0183,7.84,7.73,-0.014,7.71,7.45,-0.0337,7.44,7.12,-0.043,7.19,7.23,0.0056,7.42,7.95,0.0714,8.03,8.0,-0.0037,8.01,7.99,-0.0025,7.91,8.05,0.0177
2026-03-27,603799.XSHG,华友钴业,有色金属I,56.75,59.39,0.0465,58.49,59.24,0.0128,59.06,58.23,-0.0141,59.39,59.78,0.0066,59.29,58.47,-0.0138,58.48,56.93,-0.0265,56.91,57.38,0.0083,59.37,60.57,0.0202,59.99,58.99,-0.0167,59.38,60.9,0.0256,60.3,61.89,0.0264
2026-03-27,300390.XSHE,天华新能,电气设备I,57.12,64.01,0.1206,64.0,62.67,-0.0208,61.85,58.5,-0.0542,58.74,58.2,-0.0092,57.96,59.35,0.024,58.59,58.15,-0.0075,59.2,56.98,-0.0375,57.01,57.02,0.0002,65.0,62.0,-0.0462,62.37,68.3,0.0951,69.36,80.2,0.1563
2026-03-27,002466.XSHE,天齐锂业,有色金属I,53.61,57.96,0.0811,58.02,57.24,-0.0134,57.1,55.48,-0.0284,55.98,55.45,-0.0095,55.45,56.17,0.013,55.96,55.44,-0.0093,55.7,56.7,0.018,56.18,58.27,0.0372,58.13,57.65,-0.0083,58.0,59.64,0.0283,59.43,62.1,0.0449
2026-03-27,600276.XSHG,恒瑞医药,医药生物I,51.3,55.18,0.0756,54.73,55.76,0.0188,55.86,55.22,-0.0115,56.03,57.73,0.0303,57.74,57.37,-0.0064,56.98,56.38,-0.0105,56.51,56.12,-0.0069,57.01,57.45,0.0077,56.92,56.96,0.0007,57.5,57.06,-0.0077,56.6,55.2,-0.0247
2026-03-27,603993.XSHG,洛阳钼业,有色金属I,17.22,17.58,0.0209,17.25,17.43,0.0104,17.66,17.15,-0.0289,17.9,18.24,0.019,18.12,17.71,-0.0226,17.71,17.52,-0.0107,17.56,17.6,0.0023,18.49,19.14,0.0352,18.7,19.12,0.0225,19.39,18.96,-0.0222,18.68,18.86,0.0096
2026-03-27,000338.XSHE,潍柴动力,汽车I,21.5,23.5,0.093,22.78,24.43,0.0724,24.32,24.24,-0.0033,25.0,25.3,0.012,25.4,25.35,-0.002,25.39,25.1,-0.0114,25.1,23.88,-0.0486,25.36,25.4,0.0016,25.0,25.98,0.0392,26.55,27.0,0.0169,26.3,26.88,0.0221
2026-03-27,000792.XSHE,盐湖股份,化工I,36.33,39.45,0.0859,39.58,39.06,-0.0131,37.25,37.0,-0.0067,37.15,36.23,-0.0248,36.1,36.68,0.0161,36.68,36.25,-0.0117,36.35,36.43,0.0022,36.0,37.25,0.0347,36.95,37.4,0.0122,37.6,37.41,-0.0051,37.4,38.56,0.031
2026-03-27,603259.XSHG,药明康德,医药生物I,93.9,97.0,0.033,95.9,96.61,0.0074,96.75,98.1,0.014,100.06,103.81,0.0375,103.0,103.19,0.0018,100.7,99.99,-0.0071,100.02,101.3,0.0128,104.0,103.74,-0.0025,103.73,106.19,0.0237,106.0,106.33,0.0031,105.8,105.71,-0.0009
2026-03-27,600519.XSHG,贵州茅台,食品饮料I,1400.0,1416.02,0.0114,1407.0,1420.0,0.0092,1468.0,1450.0,-0.0123,1464.49,1459.44,-0.0034,1459.44,1459.88,0.0003,1459.54,1460.0,0.0003,1460.05,1440.02,-0.0137,1460.0,1465.02,0.0034,1465.02,1460.49,-0.0031,1459.14,1453.96,-0.0036,1444.0,1443.31,-0.0005
2026-03-27,300054.XSHE,鼎龙股份,电子I,47.92,53.07,0.1075,52.27,52.0,-0.0052,52.02,49.3,-0.0523,50.44,48.7,-0.0345,49.0,47.53,-0.03,47.96,49.75,0.0373,50.5,49.5,-0.0198,51.27,51.77,0.0098,51.49,52.35,0.0167,52.75,52.01,-0.014,52.0,51.68,-0.0062
2026-03-30,002309.XSHE,中利集团,电气设备I,4.26,4.76,0.1174,4.8,4.94,0.0292,4.74,4.53,-0.0443,4.55,4.98,0.0945,4.85,5.03,0.0371,5.03,5.23,0.0398,5.06,5.03,-0.0059,4.91,4.76,-0.0305,4.63,4.4,-0.0497,4.39,4.45,0.0137,4.41,4.24,-0.0385
2026-03-30,601600.XSHG,中国铝业,有色金属I,12.0,11.97,-0.0025,11.98,11.4,-0.0484,11.63,11.56,-0.006,11.75,11.68,-0.006,11.6,11.21,-0.0336,11.3,11.39,0.008,11.76,12.23,0.04,12.15,12.77,0.051,12.69,12.35,-0.0268,12.21,12.16,-0.0041,12.5,12.46,-0.0032
2026-03-30,600522.XSHG,中天科技,通信I,26.65,28.99,0.0878,28.86,30.09,0.0426,30.99,29.16,-0.0591,29.15,29.32,0.0058,29.46,30.67,0.0411,30.82,30.25,-0.0185,30.98,30.7,-0.009,30.28,31.4,0.037,31.38,29.8,-0.0504,29.41,28.52,-0.0303,28.8,28.33,-0.0163
2026-03-30,002432.XSHE,九安医疗,医药生物I,67.95,75.5,0.1111,75.5,73.58,-0.0254,76.88,80.94,0.0528,82.5,81.15,-0.0164,80.0,81.13,0.0141,82.1,82.86,0.0093,84.43,87.59,0.0374,86.74,88.01,0.0146,89.18,92.75,0.04,91.0,85.93,-0.0557,84.57,77.8,-0.0801
2026-03-30,002281.XSHE,光迅科技,通信I,83.69,88.1,0.0527,87.18,84.3,-0.033,86.6,86.98,0.0044,85.81,83.9,-0.0223,85.02,90.39,0.0632,92.0,92.36,0.0039,95.6,98.26,0.0278,96.13,108.09,0.1244,111.72,107.82,-0.0349,107.29,113.73,0.06,113.5,111.4,-0.0185
2026-03-30,002506.XSHE,协鑫集成,电气设备I,5.24,5.06,-0.0344,5.0,4.75,-0.05,4.84,4.82,-0.0041,4.7,4.52,-0.0383,4.48,4.21,-0.0603,4.3,4.38,0.0186,4.54,4.52,-0.0044,4.49,4.4,-0.02,4.45,4.44,-0.0022,4.4,4.56,0.0364,4.57,4.43,-0.0306
2026-03-30,000592.XSHE,平潭发展,农林牧渔I,10.4,11.62,0.1173,12.06,12.78,0.0597,12.72,12.02,-0.055,12.38,12.57,0.0153,12.31,11.68,-0.0512,11.81,12.06,0.0212,12.01,12.33,0.0266,12.23,11.91,-0.0262,11.91,11.43,-0.0403,12.15,11.69,-0.0379,11.32,11.3,-0.0018
