日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅
2026-05-07,600105.XSHG,永鼎股份,通信I,104.39,44.72,47.52,43.68,6.41,8.1,1.64
2026-05-07,601869.XSHG,长飞光纤,通信I,77.26,380.11,389.2,361.05,2.52,6.13,-1.03
2026-05-08,600584.XSHG,长电科技,电子I,82.39,48.0,50.75,48.76,5.64,4.0,-2.72
2026-05-08,002008.XSHE,大族激光,机械设备I,75.78,115.24,121.89,112.25,5.92,8.0,0.34
2026-05-11,300059.XSHE,东方财富,非银金融I,122.02,20.45,21.28,20.49,4.05,0.61,-0.19
2026-05-11,688012.XSHG,中微公司,电子I,87.68,377.05,383.64,370.0,1.78,1.16,7.62
2026-05-12,300395.XSHE,菲利华,国防军工I,103.67,135.8,148.16,131.45,9.4,3.87,-3.41
2026-05-14,002600.XSHE,领益智造,电子I,98.05,15.92,16.38,15.35,3.0,3.3,-1.12
2026-05-15,688820.XSHG,盛合晶微,电子I,94.98,158.04,183.84,154.8,16.67,7.67,0.95
2026-05-15,300433.XSHE,蓝思科技,电子I,89.43,34.0,34.21,32.31,0.65,9.79,-0.1
2026-05-18,002407.XSHE,多氟多,化工I,110.22,37.03,37.6,36.28,1.57,0.43,11.33
2026-05-19,688126.XSHG,沪硅产业,电子I,70.17,24.41,29.52,24.6,20.77,1.05,-7.95
