date,stock,name,industry,amount,open,close,pre_close,pct,net_amount_main,net_pct_main,turnover_ratio
2026-03-27,600519.XSHG,贵州茅台,白酒II,42.57,1400.0,1416.02,1401.18,1.06,34390.25,8.08,0.24
2026-03-27,000617.XSHE,中油资本,多元金融II,40.04,10.53,10.64,10.24,3.91,27350.02,6.83,2.97
2026-03-27,002428.XSHE,云南锗业,稀有金属II,38.7,44.88,51.36,46.69,10.0,42371.05,10.95,12.18
2026-03-27,603993.XSHG,洛阳钼业,工业金属II,38.67,16.98,17.33,17.24,0.52,25042.62,6.48,1.26
2026-03-30,601600.XSHG,中国铝业,工业金属II,76.58,12.0,11.97,11.44,4.63,-24382.02,-3.18,4.86
2026-03-30,002281.XSHE,光迅科技,通信设备II,52.79,83.69,88.1,84.5,4.26,60498.54,11.46,7.79
2026-03-30,002192.XSHE,融捷股份,能源金属II,51.79,83.35,81.98,78.0,5.1,-5363.07,-1.04,24.33
2026-03-30,600498.XSHG,烽火通信,通信设备II,51.43,44.99,48.8,45.98,6.13,52643.15,10.24,8.47
2026-03-30,000592.XSHE,平潭发展,林业II,49.0,10.4,11.62,10.56,10.04,178920.48,36.51,22.49
2026-03-30,600522.XSHG,中天科技,通信设备II,46.58,26.65,28.99,27.05,7.17,47950.77,10.29,4.83
2026-03-30,600105.XSHG,永鼎股份,通信设备II,45.44,25.0,27.69,25.55,8.38,74864.6,16.48,11.54
2026-03-30,300751.XSHE,迈为股份,光伏设备II,44.66,259.59,230.09,273.19,-15.78,-24936.33,-5.58,9.72
2026-03-30,688498.XSHG,源杰科技,半导体II,41.41,745.21,732.79,759.09,-3.46,1572.32,0.38,4.6
2026-03-30,300548.XSHE,长芯博创,通信设备II,41.36,146.71,159.31,150.7,5.71,49372.82,11.94,9.84
2026-03-30,002432.XSHE,九安医疗,医疗器械II,41.06,66.65,74.05,67.33,9.98,-14826.05,-3.61,12.52
2026-03-30,301308.XSHE,江波龙,半导体II,40.13,309.63,314.38,319.4,-1.57,-4961.68,-1.24,4.62
2026-03-30,002309.XSHE,中利集团,电网设备II,39.39,4.26,4.76,4.33,9.93,62191.49,15.79,36.37
2026-03-30,601012.XSHG,隆基绿能,光伏设备II,39.16,18.4,17.96,18.52,-3.02,-109651.26,-28.0,2.87
2026-03-30,002506.XSHE,协鑫集成,光伏设备II,38.32,5.24,5.06,5.33,-5.07,-50705.95,-13.23,13.1
2026-03-31,601138.XSHG,工业富联,电子制造II,122.73,49.0,51.46,49.27,4.44,197755.21,16.11,1.2
2026-03-31,300058.XSHE,蓝色光标,广告营销II,72.25,14.34,14.8,14.4,2.78,56531.69,7.82,13.96
2026-03-31,000333.XSHE,美的集团,白色家电II,53.1,75.05,76.35,72.1,5.89,23819.21,4.49,1.01
2026-03-31,603259.XSHG,药明康德,医疗服务II,52.15,95.23,96.56,95.1,1.54,37021.57,7.1,2.13
2026-03-31,600879.XSHG,航天电子,航天装备II,52.12,21.92,22.24,21.86,1.74,24024.54,4.61,7.01
2026-03-31,600089.XSHG,特变电工,电网设备II,51.84,27.77,26.5,27.77,-4.57,-111821.75,-21.57,3.78
2026-03-31,002463.XSHE,沪电股份,元件II,48.93,78.43,75.62,78.82,-4.06,-92816.41,-18.97,3.31
2026-03-31,002131.XSHE,利欧股份,通用机械II,48.62,7.63,7.77,7.69,1.04,6035.08,1.24,10.51
2026-03-31,600118.XSHG,中国卫星,航天装备II,47.64,81.11,81.86,81.13,0.9,32405.79,6.8,4.85
2026-03-31,688008.XSHG,澜起科技,半导体II,46.28,130.0,125.28,132.0,-5.09,-69094.38,-14.93,3.18
2026-03-31,300475.XSHE,香农芯创,其他电子II,45.01,133.34,125.63,137.1,-8.37,-88307.91,-19.62,7.92
2026-03-31,002837.XSHE,英维克,专用设备II,44.5,68.25,64.76,68.93,-6.05,-81385.14,-18.29,6.09
2026-03-31,600343.XSHG,航天动力,通用机械II,44.36,32.58,34.38,32.58,5.52,-42475.12,-9.58,20.29
2026-03-31,603618.XSHG,杭电股份,电网设备II,41.21,27.0,28.49,26.71,6.66,-19220.87,-4.66,20.99
2026-04-01,002361.XSHE,神剑股份,塑料II,70.17,17.0,17.0,16.5,3.03,-42244.62,-6.02,50.64
2026-04-01,600105.XSHG,永鼎股份,通信设备II,69.73,28.5,30.5,27.74,9.95,182777.43,26.21,16.1
2026-04-01,603993.XSHG,洛阳钼业,工业金属II,69.63,17.65,17.98,16.91,6.33,48136.4,6.91,2.21
2026-04-01,688521.XSHG,芯原股份,半导体II,60.27,213.0,223.0,202.3,10.23,35203.54,5.84,5.16
2026-04-01,600875.XSHG,东方电气,电源设备II,60.14,36.79,38.28,35.05,9.22,93993.74,15.63,7.0
2026-04-01,600410.XSHG,华胜天成,IT服务II,57.65,25.4,26.47,24.81,6.69,48604.89,8.43,20.11
