stock,amount,name,date
300308.XSHE,22741347135.24,中际旭创,2026-03-23
300502.XSHE,22255883379.04,新易盛,2026-03-23
002594.XSHE,19284919428.95,比亚迪,2026-03-23
300750.XSHE,18193336487.17,宁德时代,2026-03-23
300274.XSHE,17690549735.83,阳光电源,2026-03-23
601899.XSHG,15108766718.07,紫金矿业,2026-03-23
000988.XSHE,10955313747.67,华工科技,2026-03-23
002506.XSHE,9360740203.81,协鑫集成,2026-03-23
002384.XSHE,9080066783.79,东山精密,2026-03-23
300476.XSHE,9020656755.88,胜宏科技,2026-03-23
300394.XSHE,8272528784.94,天孚通信,2026-03-23
688525.XSHG,8248825899.01,佰维存储,2026-03-23
300014.XSHE,8213857794.93,亿纬锂能,2026-03-23
688256.XSHG,8094829806.47,寒武纪,2026-03-23
603986.XSHG,7806213395.65,兆易创新,2026-03-23
600089.XSHG,7701661057.17,特变电工,2026-03-23
601012.XSHG,7694518390.61,隆基绿能,2026-03-23
601318.XSHG,7264101523.89,中国平安,2026-03-23
603993.XSHG,7036601719.04,洛阳钼业,2026-03-23
002202.XSHE,6853876678.32,金风科技,2026-03-23
002463.XSHE,6805091518.5,沪电股份,2026-03-23
600519.XSHG,6669708664.51,贵州茅台,2026-03-23
601138.XSHG,6598957077.75,工业富联,2026-03-23
300059.XSHE,6221226087.88,东方财富,2026-03-23
600821.XSHG,6195318989.59,金开新能,2026-03-23
300724.XSHE,6177282116.15,捷佳伟创,2026-03-23
601868.XSHG,6125223204.57,中国能建,2026-03-23
600989.XSHG,5975228631.08,宝丰能源,2026-03-23
300751.XSHE,5941516795.3,迈为股份,2026-03-23
600580.XSHG,5765017736.13,卧龙电驱,2026-03-23
688008.XSHG,5332637841.72,澜起科技,2026-03-23
688498.XSHG,5159464944.3,源杰科技,2026-03-23
601857.XSHG,5119735792.47,中国石油,2026-03-23
002015.XSHE,5081625901.62,协鑫能科,2026-03-23
688981.XSHG,5040929174.76,中芯国际,2026-03-23
002460.XSHE,4894234847.64,赣锋锂业,2026-03-23
600030.XSHG,4887377310.07,中信证券,2026-03-23
300085.XSHE,4882307845.21,银之杰,2026-03-23
300827.XSHE,4780596536.45,上能电气,2026-03-23
002475.XSHE,4757499916.6,立讯精密,2026-03-23
600900.XSHG,4727621378.32,长江电力,2026-03-23
000617.XSHE,4721996921.18,中油资本,2026-03-23
002565.XSHE,4713045707.01,顺灏股份,2026-03-23
001309.XSHE,4670664127.61,德明利,2026-03-23
301308.XSHE,4629990809.03,江波龙,2026-03-23
002709.XSHE,4624371851.37,天赐材料,2026-03-23
600111.XSHG,4602094081.05,北方稀土,2026-03-23
300620.XSHE,4580704825.48,光库科技,2026-03-23
600487.XSHG,4453621103.29,亨通光电,2026-03-23
300857.XSHE,4452055739.88,协创数据,2026-03-23
300502.XSHE,18507025451.32,新易盛,2026-03-24
300308.XSHE,16716920527.62,中际旭创,2026-03-24
300274.XSHE,14568620638.03,阳光电源,2026-03-24
601899.XSHG,14480403099.43,紫金矿业,2026-03-24
300750.XSHE,14439124609.63,宁德时代,2026-03-24
000988.XSHE,12862573674.9,华工科技,2026-03-24
688525.XSHG,9887515852.36,佰维存储,2026-03-24
002594.XSHE,9784806490.81,比亚迪,2026-03-24
300394.XSHE,9187521646.1,天孚通信,2026-03-24
688256.XSHG,9111327946.1,寒武纪,2026-03-24
603986.XSHG,8936300506.62,兆易创新,2026-03-24
002506.XSHE,8245416130.78,协鑫集成,2026-03-24
001309.XSHE,7272280226.73,德明利,2026-03-24
601012.XSHG,7216531580.73,隆基绿能,2026-03-24
002384.XSHE,7161719960.89,东山精密,2026-03-24
603259.XSHG,6993974838.87,药明康德,2026-03-24
600821.XSHG,6439102611.89,金开新能,2026-03-24
002463.XSHE,6429458206.13,沪电股份,2026-03-24
600703.XSHG,6399825742.15,三安光电,2026-03-24
300014.XSHE,6200942678.86,亿纬锂能,2026-03-24
603993.XSHG,6195329073.4,洛阳钼业,2026-03-24
600487.XSHG,5946857916.37,亨通光电,2026-03-24
000547.XSHE,5926499489.03,航天发展,2026-03-24
601868.XSHG,5750436559.12,中国能建,2026-03-24
000617.XSHE,5748424818.27,中油资本,2026-03-24
002202.XSHE,5646815711.88,金风科技,2026-03-24
600089.XSHG,5481844775.24,特变电工,2026-03-24
601016.XSHG,5477009073.31,节能风电,2026-03-24
601138.XSHG,5341877102.66,工业富联,2026-03-24
300476.XSHE,5329133065.75,胜宏科技,2026-03-24
002015.XSHE,5285709104.34,协鑫能科,2026-03-24
301308.XSHE,5237577852.52,江波龙,2026-03-24
300620.XSHE,5154829021.45,光库科技,2026-03-24
600988.XSHG,5093495418.76,赤峰黄金,2026-03-24
688521.XSHG,5050632831.4,芯原股份,2026-03-24
002475.XSHE,5039460248.03,立讯精密,2026-03-24
002565.XSHE,4910929194.9,顺灏股份,2026-03-24
000815.XSHE,4767175191.98,美利云,2026-03-24
600930.XSHG,4703049912.26,华电新能,2026-03-24
688041.XSHG,4620494441.09,海光信息,2026-03-24
300724.XSHE,4497521063.66,捷佳伟创,2026-03-24
601872.XSHG,4378938989.86,招商轮船,2026-03-24
601869.XSHG,4320966944.0,长飞光纤,2026-03-24
002714.XSHE,4293925172.71,牧原股份,2026-03-24
000792.XSHE,4286432232.04,盐湖股份,2026-03-24
600580.XSHG,4242167576.67,卧龙电驱,2026-03-24
300059.XSHE,4122788054.99,东方财富,2026-03-24
002460.XSHE,4093111711.43,赣锋锂业,2026-03-24
688008.XSHG,4070281341.15,澜起科技,2026-03-24
600096.XSHG,4057741717.08,云天化,2026-03-24
300502.XSHE,21847463348.0,新易盛,2026-03-25
300308.XSHE,21048050377.67,中际旭创,2026-03-25
601899.XSHG,13780664759.94,紫金矿业,2026-03-25
688525.XSHG,13191967554.24,佰维存储,2026-03-25
002475.XSHE,13043880636.87,立讯精密,2026-03-25
300394.XSHE,12238824633.7,天孚通信,2026-03-25
000988.XSHE,11968326898.46,华工科技,2026-03-25
300274.XSHE,11415777009.95,阳光电源,2026-03-25
300750.XSHE,10553996246.79,宁德时代,2026-03-25
688256.XSHG,9359463115.27,寒武纪,2026-03-25
002384.XSHE,9031848949.69,东山精密,2026-03-25
600487.XSHG,8519398088.17,亨通光电,2026-03-25
600821.XSHG,7955525144.95,金开新能,2026-03-25
603986.XSHG,7947975811.02,兆易创新,2026-03-25
300383.XSHE,7876999866.91,光环新网,2026-03-25
002463.XSHE,7578022624.88,沪电股份,2026-03-25
001309.XSHE,7412965511.09,德明利,2026-03-25
002594.XSHE,7061311677.57,比亚迪,2026-03-25
600930.XSHG,6986143852.12,华电新能,2026-03-25
601868.XSHG,6979295242.27,中国能建,2026-03-25
300476.XSHE,6880875174.03,胜宏科技,2026-03-25
002506.XSHE,6837447228.28,协鑫集成,2026-03-25
600549.XSHG,6728832407.65,厦门钨业,2026-03-25
603993.XSHG,6545036881.55,洛阳钼业,2026-03-25
002281.XSHE,6384928538.69,光迅科技,2026-03-25
601138.XSHG,6338624655.8,工业富联,2026-03-25
301308.XSHE,6198465858.62,江波龙,2026-03-25
002428.XSHE,6171335250.51,云南锗业,2026-03-25
600089.XSHG,5737892869.4,特变电工,2026-03-25
002015.XSHE,5685356605.19,协鑫能科,2026-03-25
002202.XSHE,5607516975.21,金风科技,2026-03-25
600498.XSHG,5502134426.67,烽火通信,2026-03-25
601869.XSHG,5462444335.21,长飞光纤,2026-03-25
600111.XSHG,5436562647.47,北方稀土,2026-03-25
002309.XSHE,5368929440.98,中利集团,2026-03-25
300017.XSHE,5215587811.44,网宿科技,2026-03-25
002565.XSHE,5191126769.89,顺灏股份,2026-03-25
000617.XSHE,5190475136.23,中油资本,2026-03-25
600989.XSHG,5162770817.24,宝丰能源,2026-03-25
300620.XSHE,5075462954.14,光库科技,2026-03-25
000815.XSHE,5015374513.07,美利云,2026-03-25
601012.XSHG,4980370423.38,隆基绿能,2026-03-25
688521.XSHG,4892329894.28,芯原股份,2026-03-25
600522.XSHG,4840405061.14,中天科技,2026-03-25
000547.XSHE,4838352954.39,航天发展,2026-03-25
600988.XSHG,4774423204.94,赤峰黄金,2026-03-25
300014.XSHE,4741437121.64,亿纬锂能,2026-03-25
300442.XSHE,4674347633.79,润泽科技,2026-03-25
600157.XSHG,4673993273.97,永泰能源,2026-03-25
688041.XSHG,4632517002.95,海光信息,2026-03-25
300502.XSHE,17063415124.57,新易盛,2026-03-26
300308.XSHE,16491318309.96,中际旭创,2026-03-26
000988.XSHE,14813860874.31,华工科技,2026-03-26
