stock,amount,name,date
300394.XSHE,13268658181.28,天孚通信,2026-03-26
002475.XSHE,11164299112.99,立讯精密,2026-03-26
300750.XSHE,10811439764.3,宁德时代,2026-03-26
601899.XSHG,9885918295.51,紫金矿业,2026-03-26
688525.XSHG,9713156160.35,佰维存储,2026-03-26
300274.XSHE,9703062320.66,阳光电源,2026-03-26
603986.XSHG,9217935593.63,兆易创新,2026-03-26
002594.XSHE,8655663075.43,比亚迪,2026-03-26
601016.XSHG,7924335717.33,节能风电,2026-03-26
300476.XSHE,7810668894.74,胜宏科技,2026-03-26
000547.XSHE,7210639540.02,航天发展,2026-03-26
002384.XSHE,7001192820.81,东山精密,2026-03-26
300136.XSHE,6896058594.42,信维通信,2026-03-26
002463.XSHE,6774170619.71,沪电股份,2026-03-26
600487.XSHG,6746968965.73,亨通光电,2026-03-26
600549.XSHG,6261496632.47,厦门钨业,2026-03-26
001309.XSHE,6157241926.69,德明利,2026-03-26
600821.XSHG,6156820947.5,金开新能,2026-03-26
002202.XSHE,5946385535.03,金风科技,2026-03-26
600666.XSHG,5892852704.4,奥瑞德,2026-03-26
601318.XSHG,5801815138.04,中国平安,2026-03-26
601869.XSHG,5743583517.42,长飞光纤,2026-03-26
603601.XSHG,5615861364.26,再升科技,2026-03-26
002460.XSHE,5548375746.28,赣锋锂业,2026-03-26
002709.XSHE,5469278450.17,天赐材料,2026-03-26
300059.XSHE,5416802117.17,东方财富,2026-03-26
601138.XSHG,5412614173.78,工业富联,2026-03-26
300014.XSHE,5283884223.22,亿纬锂能,2026-03-26
688256.XSHG,5183511265.13,寒武纪,2026-03-26
300383.XSHE,5132609647.81,光环新网,2026-03-26
002506.XSHE,5067002103.42,协鑫集成,2026-03-26
600930.XSHG,5016814576.74,华电新能,2026-03-26
688041.XSHG,5007330789.53,海光信息,2026-03-26
002050.XSHE,4717158433.53,三花智控,2026-03-26
300757.XSHE,4656965276.26,罗博特科,2026-03-26
002281.XSHE,4655723887.52,光迅科技,2026-03-26
301308.XSHE,4634168569.29,江波龙,2026-03-26
601012.XSHG,4577231092.21,隆基绿能,2026-03-26
002015.XSHE,4526379383.17,协鑫能科,2026-03-26
603659.XSHG,4492123968.0,璞泰来,2026-03-26
002309.XSHE,4451582123.19,中利集团,2026-03-26
601868.XSHG,4429994642.8,中国能建,2026-03-26
300475.XSHE,4364618081.94,香农芯创,2026-03-26
300827.XSHE,4313087141.57,上能电气,2026-03-26
002149.XSHE,4253374469.45,西部材料,2026-03-26
600703.XSHG,4233008831.28,三安光电,2026-03-26
688498.XSHG,4059670667.2,源杰科技,2026-03-26
300502.XSHE,13437274609.1,新易盛,2026-03-27
300308.XSHE,13421963395.85,中际旭创,2026-03-27
300750.XSHE,12465856864.08,宁德时代,2026-03-27
000988.XSHE,10598647402.47,华工科技,2026-03-27
002460.XSHE,10074180745.0,赣锋锂业,2026-03-27
300274.XSHE,9476356025.82,阳光电源,2026-03-27
300394.XSHE,9091954232.61,天孚通信,2026-03-27
002475.XSHE,8737181237.92,立讯精密,2026-03-27
688525.XSHG,7823154066.52,佰维存储,2026-03-27
601899.XSHG,7382514204.39,紫金矿业,2026-03-27
603986.XSHG,7291597265.11,兆易创新,2026-03-27
002594.XSHE,6893710025.99,比亚迪,2026-03-27
000338.XSHE,6748424176.3,潍柴动力,2026-03-27
600487.XSHG,6744220349.88,亨通光电,2026-03-27
300014.XSHE,6507880089.44,亿纬锂能,2026-03-27
002709.XSHE,6453344086.02,天赐材料,2026-03-27
002384.XSHE,6447597138.77,东山精密,2026-03-27
000792.XSHE,6202363294.44,盐湖股份,2026-03-27
600666.XSHG,6119766457.15,奥瑞德,2026-03-27
300054.XSHE,6073085441.2,鼎龙股份,2026-03-27
300476.XSHE,5984987746.01,胜宏科技,2026-03-27
002149.XSHE,5906246381.17,西部材料,2026-03-27
002466.XSHE,5776794787.27,天齐锂业,2026-03-27
601869.XSHG,5461666608.82,长飞光纤,2026-03-27
600549.XSHG,5403894453.84,厦门钨业,2026-03-27
002463.XSHE,5403773102.66,沪电股份,2026-03-27
600276.XSHG,5393542863.32,恒瑞医药,2026-03-27
300620.XSHE,5254772523.12,光库科技,2026-03-27
688256.XSHG,5154200457.15,寒武纪,2026-03-27
001309.XSHE,5127780741.9,德明利,2026-03-27
000547.XSHE,4894238621.01,航天发展,2026-03-27
601318.XSHG,4753261022.43,中国平安,2026-03-27
603799.XSHG,4680134386.85,华友钴业,2026-03-27
300136.XSHE,4657330504.26,信维通信,2026-03-27
600821.XSHG,4498078567.42,金开新能,2026-03-27
002131.XSHE,4484596784.36,利欧股份,2026-03-27
601016.XSHG,4446566466.55,节能风电,2026-03-27
603259.XSHG,4320570173.65,药明康德,2026-03-27
603601.XSHG,4310774882.05,再升科技,2026-03-27
300390.XSHE,4292421746.51,天华新能,2026-03-27
600519.XSHG,4257499781.14,贵州茅台,2026-03-27
300383.XSHE,4215819731.78,光环新网,2026-03-27
300757.XSHE,4214560064.86,罗博特科,2026-03-27
002202.XSHE,4039467188.46,金风科技,2026-03-27
603659.XSHG,4033889380.47,璞泰来,2026-03-27
600930.XSHG,4029693267.47,华电新能,2026-03-27
688041.XSHG,4015543479.21,海光信息,2026-03-27
000617.XSHE,4003608529.35,中油资本,2026-03-27
002428.XSHE,3869850296.3,云南锗业,2026-03-27
603993.XSHG,3866586383.59,洛阳钼业,2026-03-27
300308.XSHE,12283293316.37,中际旭创,2026-03-30
300502.XSHE,11604391608.54,新易盛,2026-03-30
300274.XSHE,11053203207.68,阳光电源,2026-03-30
300750.XSHE,10440376424.48,宁德时代,2026-03-30
002460.XSHE,9389591725.35,赣锋锂业,2026-03-30
002475.XSHE,7806460835.04,立讯精密,2026-03-30
002594.XSHE,7713482118.31,比亚迪,2026-03-30
601899.XSHG,7676270898.79,紫金矿业,2026-03-30
601600.XSHG,7657725428.65,中国铝业,2026-03-30
300394.XSHE,7287911306.54,天孚通信,2026-03-30
002709.XSHE,7261860235.69,天赐材料,2026-03-30
688525.XSHG,7213174567.41,佰维存储,2026-03-30
600487.XSHG,6944960559.68,亨通光电,2026-03-30
000547.XSHE,6692091094.55,航天发展,2026-03-30
001309.XSHE,6425188908.19,德明利,2026-03-30
000988.XSHE,6361153264.37,华工科技,2026-03-30
300014.XSHE,5961557311.64,亿纬锂能,2026-03-30
300476.XSHE,5672413669.03,胜宏科技,2026-03-30
002428.XSHE,5664986934.23,云南锗业,2026-03-30
002149.XSHE,5531683477.33,西部材料,2026-03-30
300136.XSHE,5522567342.31,信维通信,2026-03-30
603986.XSHG,5470168274.95,兆易创新,2026-03-30
600666.XSHG,5456696214.04,奥瑞德,2026-03-30
002202.XSHE,5414551196.17,金风科技,2026-03-30
002384.XSHE,5391945776.23,东山精密,2026-03-30
002281.XSHE,5278958495.68,光迅科技,2026-03-30
688256.XSHG,5249779442.24,寒武纪,2026-03-30
002192.XSHE,5178647978.19,融捷股份,2026-03-30
600498.XSHG,5142880685.42,烽火通信,2026-03-30
603601.XSHG,5063543639.38,再升科技,2026-03-30
000592.XSHE,4900184152.63,平潭发展,2026-03-30
600522.XSHG,4658130813.86,中天科技,2026-03-30
600105.XSHG,4543568518.16,永鼎股份,2026-03-30
300751.XSHE,4466272101.93,迈为股份,2026-03-30
300383.XSHE,4432775522.19,光环新网,2026-03-30
601869.XSHG,4346270138.68,长飞光纤,2026-03-30
000338.XSHE,4253900377.14,潍柴动力,2026-03-30
000792.XSHE,4225163211.64,盐湖股份,2026-03-30
688498.XSHG,4141415350.85,源杰科技,2026-03-30
002466.XSHE,4140538173.92,天齐锂业,2026-03-30
601318.XSHG,4139267845.95,中国平安,2026-03-30
300548.XSHE,4136001521.7,长芯博创,2026-03-30
002432.XSHE,4105724152.54,九安医疗,2026-03-30
600519.XSHG,4060684934.29,贵州茅台,2026-03-30
301308.XSHE,4012786780.12,江波龙,2026-03-30
002309.XSHE,3939074631.1,中利集团,2026-03-30
601012.XSHG,3916247299.43,隆基绿能,2026-03-30
603993.XSHG,3914035499.36,洛阳钼业,2026-03-30
600276.XSHG,3866003911.57,恒瑞医药,2026-03-30
002506.XSHE,3831835296.13,协鑫集成,2026-03-30
300308.XSHE,14942137036.65,中际旭创,2026-03-31
300502.XSHE,12570885753.54,新易盛,2026-03-31
601138.XSHG,12272913185.39,工业富联,2026-03-31
603986.XSHG,10377669656.46,兆易创新,2026-03-31
300750.XSHE,10159878345.8,宁德时代,2026-03-31
300274.XSHE,9429524327.99,阳光电源,2026-03-31
600487.XSHG,9334560460.99,亨通光电,2026-03-31
688525.XSHG,9076342896.99,佰维存储,2026-03-31
600519.XSHG,9015486796.86,贵州茅台,2026-03-31
601899.XSHG,8352940020.62,紫金矿业,2026-03-31
002475.XSHE,8302284089.63,立讯精密,2026-03-31
300394.XSHE,8240526192.03,天孚通信,2026-03-31
001309.XSHE,7920856633.12,德明利,2026-03-31
300136.XSHE,7763526182.13,信维通信,2026-03-31
300014.XSHE,7697495276.42,亿纬锂能,2026-03-31
600498.XSHG,7431330103.5,烽火通信,2026-03-31
000547.XSHE,7286702252.37,航天发展,2026-03-31
300058.XSHE,7224634099.85,蓝色光标,2026-03-31
002202.XSHE,7121209519.9,金风科技,2026-03-31
603601.XSHG,7071430617.85,再升科技,2026-03-31
600522.XSHG,6927521507.01,中天科技,2026-03-31
601869.XSHG,6489851046.32,长飞光纤,2026-03-31
002460.XSHE,6397896407.63,赣锋锂业,2026-03-31
002594.XSHE,6283345063.15,比亚迪,2026-03-31
000988.XSHE,6069808840.75,华工科技,2026-03-31
002384.XSHE,5869867287.89,东山精密,2026-03-31
002149.XSHE,5798401909.95,西部材料,2026-03-31
300476.XSHE,5600117017.26,胜宏科技,2026-03-31
000592.XSHE,5569520997.47,平潭发展,2026-03-31
000792.XSHE,5498018449.82,盐湖股份,2026-03-31
000333.XSHE,5310077351.85,美的集团,2026-03-31
603259.XSHG,5215321936.56,药明康德,2026-03-31
600879.XSHG,5212353429.27,航天电子,2026-03-31
600089.XSHG,5183859146.84,特变电工,2026-03-31
688256.XSHG,5072933425.02,寒武纪,2026-03-31
002309.XSHE,4902616801.85,中利集团,2026-03-31
002463.XSHE,4893412577.87,沪电股份,2026-03-31
002131.XSHE,4862121010.62,利欧股份,2026-03-31
600118.XSHG,4763902572.61,中国卫星,2026-03-31
601600.XSHG,4723332246.37,中国铝业,2026-03-31
002432.XSHE,4695964935.65,九安医疗,2026-03-31
002709.XSHE,4667414621.34,天赐材料,2026-03-31
688008.XSHG,4627857546.3,澜起科技,2026-03-31
002428.XSHE,4600007328.35,云南锗业,2026-03-31
300475.XSHE,4501473477.33,香农芯创,2026-03-31
301308.XSHE,4481627846.08,江波龙,2026-03-31
002837.XSHE,4449883619.08,英维克,2026-03-31
600343.XSHG,4435574212.76,航天动力,2026-03-31
601318.XSHG,4363799009.51,中国平安,2026-03-31
603618.XSHG,4121055774.07,杭电股份,2026-03-31
300274.XSHE,22541206480.98,阳光电源,2026-04-01
300308.XSHE,15121134057.13,中际旭创,2026-04-01
300502.XSHE,14262847447.91,新易盛,2026-04-01
300394.XSHE,13679978951.38,天孚通信,2026-04-01
001309.XSHE,11826932921.92,德明利,2026-04-01
601138.XSHG,11336940979.84,工业富联,2026-04-01
601899.XSHG,11014637163.36,紫金矿业,2026-04-01
688256.XSHG,10410610082.06,寒武纪,2026-04-01
688525.XSHG,9718138114.69,佰维存储,2026-04-01
603986.XSHG,9693139251.05,兆易创新,2026-04-01
300750.XSHE,9384266504.41,宁德时代,2026-04-01
603259.XSHG,8034480317.39,药明康德,2026-04-01
002384.XSHE,7533186890.6,东山精密,2026-04-01
002594.XSHE,7383168511.54,比亚迪,2026-04-01
002361.XSHE,7017316760.51,神剑股份,2026-04-01
600105.XSHG,6972947484.06,永鼎股份,2026-04-01
603993.XSHG,6962712335.49,洛阳钼业,2026-04-01
600487.XSHG,6686306031.78,亨通光电,2026-04-01
688521.XSHG,6026667836.22,芯原股份,2026-04-01
600875.XSHG,6014067332.53,东方电气,2026-04-01
000592.XSHE,6008586028.57,平潭发展,2026-04-01
301308.XSHE,5951064852.74,江波龙,2026-04-01
300476.XSHE,5918996041.62,胜宏科技,2026-04-01
600410.XSHG,5764932302.05,华胜天成,2026-04-01
600276.XSHG,5750559321.95,恒瑞医药,2026-04-01
300058.XSHE,5728273610.09,蓝色光标,2026-04-01
002202.XSHE,5634329609.94,金风科技,2026-04-01
600498.XSHG,5591067319.57,烽火通信,2026-04-01
000547.XSHE,5586852869.94,航天发展,2026-04-01
002475.XSHE,5578244766.45,立讯精密,2026-04-01
601869.XSHG,5554795108.59,长飞光纤,2026-04-01
000988.XSHE,5419923282.7,华工科技,2026-04-01
002460.XSHE,5344428396.16,赣锋锂业,2026-04-01
002463.XSHE,5195079207.3,沪电股份,2026-04-01
300136.XSHE,5116977607.69,信维通信,2026-04-01
603601.XSHG,4756400204.48,再升科技,2026-04-01
600522.XSHG,4628127274.75,中天科技,2026-04-01
002565.XSHE,4592200493.18,顺灏股份,2026-04-01
002342.XSHE,4527517486.3,巨力索具,2026-04-01
002015.XSHE,4525285325.67,协鑫能科,2026-04-01
300014.XSHE,4498407757.73,亿纬锂能,2026-04-01
300017.XSHE,4449921670.41,网宿科技,2026-04-01
688008.XSHG,4427751402.87,澜起科技,2026-04-01
688041.XSHG,4310420749.57,海光信息,2026-04-01
002149.XSHE,4310175883.83,西部材料,2026-04-01
600519.XSHG,4256185471.72,贵州茅台,2026-04-01
002709.XSHE,4146391031.7,天赐材料,2026-04-01
601318.XSHG,3964968442.02,中国平安,2026-04-01
300383.XSHE,3946893710.75,光环新网,2026-04-01
002281.XSHE,3937769290.38,光迅科技,2026-04-01
300274.XSHE,14683958935.46,阳光电源,2026-04-02
300308.XSHE,10393303258.26,中际旭创,2026-04-02
300502.XSHE,9827394555.36,新易盛,2026-04-02
300394.XSHE,9179362975.79,天孚通信,2026-04-02
300750.XSHE,8988161794.19,宁德时代,2026-04-02
601899.XSHG,8604391359.51,紫金矿业,2026-04-02
601138.XSHG,8293713010.67,工业富联,2026-04-02
600487.XSHG,7954717995.76,亨通光电,2026-04-02
002460.XSHE,7246898783.45,赣锋锂业,2026-04-02
688256.XSHG,7184207985.86,寒武纪,2026-04-02
300476.XSHE,7111135505.64,胜宏科技,2026-04-02
001309.XSHE,6941387994.2,德明利,2026-04-02
600105.XSHG,6791504821.56,永鼎股份,2026-04-02
601872.XSHG,6428486573.06,招商轮船,2026-04-02
688525.XSHG,6420464046.07,佰维存储,2026-04-02
603986.XSHG,6367107416.01,兆易创新,2026-04-02
601869.XSHG,6337712569.67,长飞光纤,2026-04-02
000592.XSHE,6231981756.07,平潭发展,2026-04-02
002594.XSHE,6153958207.6,比亚迪,2026-04-02
000988.XSHE,6052846908.06,华工科技,2026-04-02
002361.XSHE,5977900915.51,神剑股份,2026-04-02
002202.XSHE,5765785963.36,金风科技,2026-04-02
688313.XSHG,5488166874.9,仕佳光子,2026-04-02
300620.XSHE,5001514487.33,光库科技,2026-04-02
603259.XSHG,4897475243.75,药明康德,2026-04-02
002384.XSHE,4723640778.38,东山精密,2026-04-02
600498.XSHG,4720234272.78,烽火通信,2026-04-02
600666.XSHG,4682192702.49,奥瑞德,2026-04-02
603993.XSHG,4617017137.42,洛阳钼业,2026-04-02
600276.XSHG,4415860424.89,恒瑞医药,2026-04-02
603778.XSHG,4374626454.54,国晟科技,2026-04-02
002471.XSHE,4335369325.77,中超控股,2026-04-02
002353.XSHE,4335236644.08,杰瑞股份,2026-04-02
603601.XSHG,4314743355.53,再升科技,2026-04-02
002432.XSHE,4310176185.29,九安医疗,2026-04-02
002475.XSHE,4306449474.23,立讯精密,2026-04-02
600522.XSHG,4241717845.22,中天科技,2026-04-02
300058.XSHE,4086455934.22,蓝色光标,2026-04-02
002463.XSHE,4069530948.13,沪电股份,2026-04-02
601600.XSHG,4047490025.17,中国铝业,2026-04-02
300014.XSHE,4029847740.65,亿纬锂能,2026-04-02
600410.XSHG,4013289376.77,华胜天成,2026-04-02
600988.XSHG,3997954281.29,赤峰黄金,2026-04-02
688008.XSHG,3994346357.62,澜起科技,2026-04-02
603538.XSHG,3905407480.57,美诺华,2026-04-02
000070.XSHE,3875170052.76,特发信息,2026-04-02
601288.XSHG,3860679040.1,农业银行,2026-04-02
002821.XSHE,3840448784.19,凯莱英,2026-04-02
600089.XSHG,3839223106.18,特变电工,2026-04-02
600759.XSHG,3729409408.61,ST洲际,2026-04-02
300308.XSHE,17694513704.81,中际旭创,2026-04-03
300502.XSHE,15504869055.49,新易盛,2026-04-03
300394.XSHE,10807630420.35,天孚通信,2026-04-03
600487.XSHG,9806984503.67,亨通光电,2026-04-03
300750.XSHE,9640031385.12,宁德时代,2026-04-03
300476.XSHE,9366774870.29,胜宏科技,2026-04-03
300274.XSHE,8821648029.15,阳光电源,2026-04-03
000617.XSHE,8481173343.88,中油资本,2026-04-03
002281.XSHE,7537469144.94,光迅科技,2026-04-03
000988.XSHE,7132630456.55,华工科技,2026-04-03
002384.XSHE,6976994033.38,东山精密,2026-04-03
601869.XSHG,6523095990.99,长飞光纤,2026-04-03
688256.XSHG,6355115333.43,寒武纪,2026-04-03
600522.XSHG,6023713620.79,中天科技,2026-04-03
600498.XSHG,5792483640.9,烽火通信,2026-04-03
002202.XSHE,5712791331.26,金风科技,2026-04-03
002428.XSHE,5568815099.07,云南锗业,2026-04-03
601138.XSHG,5487285896.97,工业富联,2026-04-03
300620.XSHE,5364093221.17,光库科技,2026-04-03
600105.XSHG,5260979671.0,永鼎股份,2026-04-03
300757.XSHE,5259989849.11,罗博特科,2026-04-03
002309.XSHE,5035580369.33,中利集团,2026-04-03
002460.XSHE,4983301821.3,赣锋锂业,2026-04-03
002361.XSHE,4982493186.88,神剑股份,2026-04-03
603986.XSHG,4948392995.26,兆易创新,2026-04-03
002594.XSHE,4921224065.51,比亚迪,2026-04-03
300548.XSHE,4763241880.52,长芯博创,2026-04-03
601899.XSHG,4683625567.17,紫金矿业,2026-04-03
603259.XSHG,4578626309.03,药明康德,2026-04-03
688525.XSHG,4567933114.43,佰维存储,2026-04-03
688313.XSHG,4558686752.94,仕佳光子,2026-04-03
601872.XSHG,4358551772.99,招商轮船,2026-04-03
000592.XSHE,4284522162.63,平潭发展,2026-04-03
300136.XSHE,4275746058.91,信维通信,2026-04-03
603601.XSHG,4234365276.11,再升科技,2026-04-03
603778.XSHG,4122777519.98,国晟科技,2026-04-03
001309.XSHE,4108073146.24,德明利,2026-04-03
688521.XSHG,4036027161.62,芯原股份,2026-04-03
688205.XSHG,3894355661.08,德科立,2026-04-03
600010.XSHG,3822131531.27,包钢股份,2026-04-03
002463.XSHE,3822047910.3,沪电股份,2026-04-03
603538.XSHG,3819879918.97,美诺华,2026-04-03
600089.XSHG,3722354504.46,特变电工,2026-04-03
688048.XSHG,3715992890.77,长光华芯,2026-04-03
002475.XSHE,3668426746.51,立讯精密,2026-04-03
000938.XSHE,3665293297.32,紫光股份,2026-04-03
688195.XSHG,3639801903.04,腾景科技,2026-04-03
002222.XSHE,3608571173.71,福晶科技,2026-04-03
300342.XSHE,3584072461.91,天银机电,2026-04-03
300456.XSHE,3542246210.31,赛微电子,2026-04-03
