日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅,主力净流入（万）,主力占比（%）,换手率（%）
2026-04-22,000938.XSHE,紫光股份,IT服务II,95.7,27.45,29.85,27.54,8.39,4.29,0.39,131616.16,13.75,11.3
2026-04-23,002428.XSHE,云南锗业,稀有金属II,130.01,76.29,76.88,75.24,2.18,0.31,-5.6,-87201.68,-6.71,25.53
2026-04-23,600105.XSHG,永鼎股份,通信设备II,111.92,48.09,48.49,45.52,6.52,1.05,-1.0,-39891.17,-3.56,15.79
2026-04-24,300475.XSHE,香农芯创,其他电子II,108.69,160.0,162.05,156.39,3.62,5.52,0.36,13203.47,1.21,14.84
2026-04-24,688981.XSHG,中芯国际,半导体II,99.8,105.58,110.96,105.98,4.7,5.06,-2.21,99900.77,10.01,4.55
2026-04-24,603019.XSHG,中科曙光,计算机设备II,76.58,92.66,92.36,91.29,1.17,1.59,-3.54,73536.31,9.6,5.64
2026-04-24,688313.XSHG,仕佳光子,通信设备II,65.95,142.23,143.22,139.02,3.02,1.22,-7.66,48566.13,7.36,10.09
2026-04-28,000066.XSHE,中国长城,计算机设备II,76.48,16.63,17.83,16.77,6.32,1.07,9.99,149726.6,19.58,13.4
2026-04-28,001309.XSHE,德明利,半导体II,66.03,496.93,496.39,488.15,1.69,5.35,0.36,67371.39,10.2,8.2
2026-04-29,600111.XSHG,北方稀土,稀有金属II,93.53,47.37,50.81,46.19,10.0,4.09,4.69,285410.38,30.52,5.18
2026-04-29,002460.XSHE,赣锋锂业,能源金属II,72.24,81.81,86.9,82.1,5.85,2.05,3.12,81157.36,11.23,7.01
2026-04-30,002202.XSHE,金风科技,风电设备II,94.89,26.51,27.55,25.73,7.07,1.42,1.86,118498.58,12.49,10.39
2026-04-30,002050.XSHE,三花智控,家电零部件II,76.7,44.69,46.92,44.82,4.69,2.64,4.49,76059.12,9.92,4.46
2026-04-30,300059.XSHE,东方财富,证券II,74.49,20.25,20.36,20.26,0.49,2.41,-0.58,6994.95,0.94,2.72
2026-04-30,002428.XSHE,云南锗业,稀有金属II,72.86,68.72,70.01,69.22,1.14,10.0,4.14,40258.51,5.53,15.79
2026-05-06,300058.XSHE,蓝色光标,广告营销II,83.91,17.69,18.04,17.11,5.44,6.93,-3.16,43832.1,5.22,13.35
2026-05-07,600105.XSHG,永鼎股份,通信设备II,104.39,44.71,47.51,43.67,8.79,5.09,2.92,99005.91,9.48,15.5
2026-05-07,601869.XSHG,长飞光纤,通信设备II,77.26,380.11,389.2,361.05,7.8,2.06,0.78,49137.91,6.36,4.97
2026-05-08,600584.XSHG,长电科技,半导体II,82.39,47.95,50.69,48.71,4.06,10.02,-1.06,25792.58,3.13,9.43
2026-05-08,600498.XSHG,烽火通信,通信设备II,76.39,51.0,57.0,51.82,10.0,2.82,0.68,119007.62,15.58,11.0
2026-05-08,002008.XSHE,大族激光,自动化设备II,75.78,115.24,121.89,112.25,8.59,10.0,0.29,81314.76,10.73,6.79
2026-05-11,688012.XSHG,中微公司,半导体II,87.68,252.86,257.28,248.13,3.69,1.25,4.41,-8326.12,-0.95,3.65
2026-05-12,300395.XSHE,菲利华,航空装备II,103.67,135.8,148.16,131.45,12.71,0.5,-5.63,103130.87,9.95,14.56
2026-05-14,002600.XSHE,领益智造,电子制造II,98.05,15.92,16.38,15.35,6.71,3.3,0.77,159713.67,16.29,8.38
2026-05-15,688012.XSHG,中微公司,半导体II,160.19,263.79,290.31,259.64,11.81,1.35,9.29,29437.3,1.84,6.08
2026-05-15,002371.XSHE,北方华创,半导体II,138.4,569.8,592.0,564.4,4.89,1.01,3.63,12930.02,0.93,3.22
2026-05-15,688820.XSHG,盛合晶微,半导体II,94.98,158.04,183.84,154.8,18.76,2.32,-2.89,-33342.55,-3.51,32.69
2026-05-15,300433.XSHE,蓝思科技,电子制造II,89.43,34.0,34.21,32.31,5.88,13.12,-1.91,33433.04,3.74,5.28
2026-05-19,000021.XSHE,深科技,电子制造II,112.24,36.82,37.46,36.82,1.74,0.45,-3.91,-26789.57,-2.39,19.15
2026-05-21,002463.XSHE,沪电股份,元件II,82.61,105.58,103.7,103.58,0.12,10.0,7.43,39562.57,4.79,4.01
2026-05-22,000725.XSHE,京东方A,光学光电子II,291.63,4.66,5.11,4.65,9.89,2.15,9.58,194081.57,6.66,16.54
2026-05-22,300408.XSHE,三环集团,元件II,92.61,104.99,115.0,98.47,16.79,0.3,1.37,-22524.98,-2.43,4.41
2026-05-26,002185.XSHE,华天科技,半导体II,112.43,18.65,18.65,16.95,10.03,7.94,6.66,74664.88,6.64,18.49
2026-05-26,000636.XSHE,风华高科,元件II,110.65,42.12,41.7,41.38,0.77,6.04,10.0,-16733.58,-1.51,22.87
2026-05-26,300223.XSHE,北京君正,半导体II,85.27,139.37,149.6,141.92,5.41,6.96,0.99,93229.51,10.93,14.16
2026-05-28,601991.XSHG,大唐发电,电力II,85.02,7.73,8.0,7.71,3.76,7.88,-3.01,-28207.93,-3.32,8.66
2026-05-28,002428.XSHE,云南锗业,稀有金属II,77.81,81.01,89.85,81.68,10.0,1.48,-10.0,158519.45,20.37,13.83
2026-05-29,300058.XSHE,蓝色光标,广告营销II,80.8,16.69,16.69,16.15,3.34,7.55,-4.85,39749.72,4.92,13.72
2026-06-02,688498.XSHG,源杰科技,半导体II,93.0,1089.36,1206.91,1073.44,12.43,16.41,-2.21,8380.76,0.9,6.46
2026-06-02,600105.XSHG,永鼎股份,通信设备II,91.18,45.1,49.61,45.1,10.0,4.64,4.57,183324.45,20.11,12.96
2026-06-02,300285.XSHE,国瓷材料,电子化学品II,82.66,51.44,58.45,51.5,13.5,3.46,5.84,15337.87,1.86,16.96
2026-06-03,000100.XSHE,TCL科技,光学光电子II,114.97,4.57,4.65,4.34,7.14,3.87,-0.62,136333.32,11.86,12.47
2026-06-03,000063.XSHE,中兴通讯,通信设备II,90.79,36.8,36.44,36.3,0.39,3.57,3.68,-16292.39,-1.79,6.04
2026-06-03,600549.XSHG,厦门钨业,稀有金属II,78.31,55.5,59.63,55.46,7.52,6.2,-3.14,42712.44,5.45,8.45
